駅ID	駅名(漢字)	駅格	略称	駅名(ひらがな)	駅名(カタカナ)	駅名(ローマ字)	駅名(簡体字)	駅名(繁体字)	駅名(韓国語)	住所	駅番号	自社	連動駅	線路数
1118	富雄	停留場	富　雄	とみお	トミオ	Tomio	富雄	富雄	도미오		A19	FALSE	FALSE	1番線,2番線
1119	学園前	停車場	学園前	がくえんまえ	ガクエンマエ	Gakuen-mae	学园前	學園前	가쿠엔마에		A20	FALSE	TRUE	1番線,2番線
1120	菖蒲池	停留場	菖蒲池	あやめいけ	アヤメイケ	Ayameike	菖蒲池	菖蒲池	아야메케		A21	FALSE	FALSE	1番線,2番線
1121	大和西大寺	停車場	大西大	やまとさいだいじ	ヤマトサイダイジ	Yamato-Saidaiji	大和西大寺	大和西大寺	야마토사이다이지		A26	FALSE	TRUE	1番線,2番線,3番線,4番線,5番線
1122	新大宮	停留場	新大宮	しんおおみや	シンオオミヤ	Shin-Omiya	新大宫	新大宮	신오미야		A27	FALSE	FALSE	1番線,2番線
1123	近鉄奈良	停車場	奈　良	きんてつなら	キンテツナラ	Kintetsu-Nara	近铁奈良	近鐵奈良	긴테쑤나라		A28	FALSE	TRUE	1番線,2番線,3番線,4番線
1151	菜畑		近菜畑									FALSE		
1152	一分		近一分									FALSE		
1153	南生駒		近南生									FALSE		
1154	萩の台		近萩台									FALSE		
1155	東山		近東山									FALSE		
1156	元山上口		近元山									FALSE		
1157	平群		近平群									FALSE		
1158	竜田川		近竜田									FALSE		
1159	勢野北口		近勢野									FALSE		
1160	信貴山下		近信下									FALSE		
1161	王寺		近王寺									FALSE		
1201	近鉄京都		近京都									FALSE		
1202	東寺		近東寺									FALSE		
1203	十条		近十条									FALSE		
1204	上鳥羽口		近上鳥									FALSE		
1205	竹田		近竹田									FALSE		
1206	伏見		近伏見									FALSE		
1207	近鉄丹波橋		近丹波									FALSE		
1208	桃山御陵前		近桃山									FALSE		
1209	向島		近向島									FALSE		
1210	小倉		近小倉									FALSE		
1211	伊勢田		近伊勢									FALSE		
1212	大久保		近大久									FALSE		
1213	久津川		近久津									FALSE		
1214	寺田		近寺田									FALSE		
1215	富野荘		近富野									FALSE		
1216	新田辺		近新田									FALSE		
1217	興戸		近興戸									FALSE		
1218	三山木		近三山									FALSE		
1219	近鉄宮津		近宮津									FALSE		
1220	狛田		近狛田									FALSE		
1221	新祝園		近新祝									FALSE		
1222	木津川台		近木台									FALSE		
1223	山田川		近山川									FALSE		
1224	高の原		近高原									FALSE		
1225	平城		近平群									FALSE		
1227	尼ヶ辻		近尼辻									FALSE		
1228	西の京		近西京									FALSE		
1229	九条		近九条									FALSE		
1230	近鉄郡山		近郡山									FALSE		
1231	筒井		近筒井									FALSE		
1232	平端		近平畑									FALSE		
1233	ファミリー公園前		近ファ									FALSE		
1234	結崎		近結崎									FALSE		
1235	石見		近石見									FALSE		
1236	田原本		近田原									FALSE		
1237	笠縫		近笠縫									FALSE		
1238	新ノ口		近新口									FALSE		
1239	大和八木		近八木									FALSE		
1240	八木西口		近八西									FALSE		
1241	畝傍御陵前		近畝傍									FALSE		
1242	橿原神宮前		近橿原									FALSE		
1251	二階堂		近二階									FALSE		
1252	前栽		近前栽									FALSE		
1253	天理		近天理									FALSE		
1261	西田原本		近西田									FALSE		
1262	黒田		近黒田									FALSE		
1263	田島		近田島									FALSE		
1264	箸尾		近箸尾									FALSE		
1265	池部		近池部									FALSE		
1266	佐味田川		近佐味									FALSE		
1267	大輪田		近大輪									FALSE		
1268	新王寺		近新王									FALSE		
1301	俊徳道		近俊徳									FALSE		
1302	長瀬		近長瀬									FALSE		
1303	弥刀		近弥刀									FALSE		
1304	久宝寺口		近久宝									FALSE		
1305	近鉄八尾		近八尾									FALSE		
1306	河内山本		近山本									FALSE		
1307	高安		近高安									FALSE		
1308	恩智		近恩智									FALSE		
1309	法善寺		近法善									FALSE		
1310	堅下		近堅下									FALSE		
1311	安堂		近安堂									FALSE		
1312	河内国分		近国分									FALSE		
1313	大阪教育大前		近教大									FALSE		
1314	関屋		近関屋									FALSE		
1315	二上		近二上									FALSE		
1316	近鉄下田		近霜田									FALSE		
1317	五位堂		近五位									FALSE		
1318	築山		近郡山									FALSE		
1319	大和高田		近高田									FALSE		
1320	松塚		近松塚									FALSE		
1321	真菅		近真菅									FALSE		
1323	耳成		近耳成									FALSE		
1324	大福		近大福									FALSE		
1325	桜井		近桜井									FALSE		
1326	大和朝倉		近朝倉									FALSE		
1327	長谷寺		近長谷									FALSE		
1328	榛原		近榛原									FALSE		
1329	室生口大野		近室生									FALSE		
1330	三本松		近三本									FALSE		
1331	赤目口		近赤目									FALSE		
1332	名張		近名張									FALSE		
1333	桔梗が丘		近桔梗									FALSE		
1334	美旗		近美旗									FALSE		
1335	伊賀神戸		近賀神									FALSE		
1336	青山町		近青山									FALSE		
1341	服部川		近服部									FALSE		
1342	信貴山口		近信口									FALSE		
1401	大阪阿部野橋		近阿部									FALSE		
1402	河堀口		近河堀									FALSE		
1403	北田辺		近北田									FALSE		
1404	今川		近今川									FALSE		
1405	針中野		近針中									FALSE		
1406	矢田		近矢田									FALSE		
1407	河内天美		近天美									FALSE		
1408	布忍		近布忍									FALSE		
1409	高見ノ里		近高見									FALSE		
1410	河内松原		近松原									FALSE		
1411	恵我ノ荘		近恵我									FALSE		
1412	高鷲		近高鷲									FALSE		
1413	藤井寺		近藤井									FALSE		
1414	土師ノ里		近土師									FALSE		
1415	道明寺		近道明									FALSE		
1416	古市		近古市									FALSE		
1417	駒ヶ谷		近駒谷									FALSE		
1418	上ノ太子		近上太									FALSE		
1419	二上山		近二山									FALSE		
1420	二上神社口		近二神									FALSE		
1421	当麻寺		近当麻									FALSE		
1422	磐城		近磐城									FALSE		
1423	尺土		近尺土									FALSE		
1424	高田市		近高市									FALSE		
1425	浮孔		近浮孔									FALSE		
1426	坊城		近坊城									FALSE		
1427	橿原神宮西口		近橿西									FALSE		
1429	岡寺		近岡寺									FALSE		
1430	飛鳥		近飛鳥									FALSE		
1431	壺阪山		近壺阪									FALSE		
1432	市尾		近市尾									FALSE		
1433	葛		近　葛									FALSE		
1434	吉野口		近吉口									FALSE		
1435	薬水		近薬水									FALSE		
1436	福神		近福神									FALSE		
1437	大阿太		近大阿									FALSE		
1438	下市口		近下市									FALSE		
1439	越部		近越部									FALSE		
1440	六田		近六田									FALSE		
1441	大和上市		近上市									FALSE		
1442	吉野神宮		近吉神									FALSE		
1443	吉野		近吉野									FALSE		
1451	柏原南口		近柏南									FALSE		
1452	近鉄柏原		近橿原									FALSE		
1461	喜志		近喜志									FALSE		
1462	近鉄富田林		近富田									FALSE		
1463	富田林西口		近富西									FALSE		
1464	川西		近川西									FALSE		
1465	滝谷不動		近滝谷									FALSE		
1466	汐ノ宮		近汐宮									FALSE		
1467	河内長野		近長野									FALSE		
1471	近鉄新庄		近新庄									FALSE		
1472	忍海		近忍海									FALSE		
1473	近鉄御所		近御所									FALSE		
1501	南海難波											FALSE		
1502	今宮戎											FALSE		
1503	南海新今宮											FALSE		
1504	萩ノ茶屋											FALSE		
1505	南海天下茶屋											FALSE		
1506	岸里玉出											FALSE		
1507	粉浜											FALSE		
1508	住吉大社											FALSE		
1509	住之江											FALSE		
1510	七道											FALSE		
1511	堺											FALSE		
1512	湊川											FALSE		
1513	石津浜											FALSE		
1514	諏訪ノ森											FALSE		
1515	浜寺公園											FALSE		
1516	羽衣											FALSE		
1517	高石											FALSE		
1518	北助松											FALSE		
1519	松ノ浜											FALSE		
1520	泉大津											FALSE		
1521	忠岡											FALSE		
1522	春木											FALSE		
1523	和泉大宮											FALSE		
1524	岸和田											FALSE		
1525	蛸地蔵											FALSE		
1526	貝塚											FALSE		
1527	二色浜											FALSE		
1528	鶴原											FALSE		
1529	井原里											FALSE		
1530	泉佐野											FALSE		
1531	羽倉崎											FALSE		
1532	吉見ノ里											FALSE		
1533	岡田浦											FALSE		
1534	樽井											FALSE		
1535	尾崎											FALSE		
1536	鳥取ノ荘											FALSE		
1537	箱作											FALSE		
1538	淡輪											FALSE		
1539	みさき公園											FALSE		
1540	孝子											FALSE		
1541	和歌山大学前											FALSE		
1542	紀ノ川											FALSE		
1543	和歌山市											FALSE		
1544	和歌山港											FALSE		
1551	伽羅橋											FALSE		
1552	高師浜											FALSE		
1561	南海りんくうタウン											FALSE		
1562	南海関西空港											FALSE		
1571	深日町											FALSE		
1572	深日港											FALSE		
1573	多奈川											FALSE		
1581	東松江											FALSE		
1582	中松江											FALSE		
1583	八幡前											FALSE		
1584	西ノ庄											FALSE		
1585	二色ヶ浜											FALSE		
1586	磯ノ浦											FALSE		
1587	加太											FALSE		
1601	南海汐見橋											FALSE		
1602	芦原町											FALSE		
1603	木津川											FALSE		
1604	津守											FALSE		
1605	西天下茶屋											FALSE		
1607	帝塚山											FALSE		
1608	住吉東											FALSE		
1609	沢ノ町											FALSE		
1610	我孫子前											FALSE		
1611	浅香山											FALSE		
1612	堺東											FALSE		
1613	南海三国ヶ丘											FALSE		
1614	百舌鳥八幡											FALSE		
1615	中百舌鳥											FALSE		
1616	白鷺											FALSE		
1617	初芝											FALSE		
1618	萩原天神											FALSE		
1619	北野田											FALSE		
1620	狭山											FALSE		
1621	大阪狭山市											FALSE		
1622	金剛											FALSE		
1623	滝谷											FALSE		
1624	千代田											FALSE		
1625	南海河内長野											FALSE		
1626	三日市町											FALSE		
1627	美加の台											FALSE		
1628	千早口											FALSE		
1629	天見											FALSE		
1630	紀見峠											FALSE		
1631	林間田園都市											FALSE		
1632	御幸辻											FALSE		
1633	南海橋本											FALSE		
1634	紀伊清水											FALSE		
1635	学文路											FALSE		
1636	九度山											FALSE		
1637	高野下											FALSE		
1638	下古沢											FALSE		
1639	上古沢											FALSE		
1640	紀伊細川											FALSE		
1641	紀伊神谷											FALSE		
1642	極楽橋											FALSE		
1643	高野山											FALSE		
1651	深井											FALSE		
1652	泉ヶ丘											FALSE		
1653	栂・美木多											FALSE		
1654	光明池											FALSE		
1655	和泉中央											FALSE		
1701	淀屋橋											FALSE		
1702	北浜											FALSE		
1703	天満橋											FALSE		
1704	京橋											FALSE		
1705	野江											FALSE		
1706	関目											FALSE		
1707	森小路											FALSE		
1708	千林											FALSE		
1709	滝井											FALSE		
1710	土居											FALSE		
1711	守口市											FALSE		
1712	西三荘											FALSE		
1713	門真市											FALSE		
1714	古川橋											FALSE		
1715	大和田											FALSE		
1716	萱島											FALSE		
1717	寝屋川市											FALSE		
1718	香里園											FALSE		
1719	光善寺											FALSE		
1720	枚方公園											FALSE		
1721	枚方市											FALSE		
1722	御殿山											FALSE		
1723	牧野											FALSE		
1724	樟葉											FALSE		
1725	橋本											FALSE		
1726	石清水八幡宮											FALSE		
1727	淀											FALSE		
1728	中書島											FALSE		
1729	伏見桃山											FALSE		
1730	丹波橋											FALSE		
1731	墨染											FALSE		
1732	藤森											FALSE		
1733	龍谷大前深草											FALSE		
1734	伏見稲荷											FALSE		
1735	鳥羽街道											FALSE		
1736	東福寺											FALSE		
1737	七条											FALSE		
1738	清水五条											FALSE		
1739	祇園四条											FALSE		
1740	三条											FALSE		
1741	神宮丸太町											FALSE		
1742	出町柳											FALSE		
1751	京阪九条											FALSE		
1752	京阪中之島											FALSE		
1753	渡辺橋											FALSE		
1754	大江橋											FALSE		
1755	なにわ橋											FALSE		
1761	宮之阪											FALSE		
1762	星ケ丘											FALSE		
1763	村野											FALSE		
1764	郡津											FALSE		
1765	交野市											FALSE		
1766	河内森											FALSE		
1767	私市											FALSE		
1771	観月橋											FALSE		
1772	桃山南口											FALSE		
1773	六地蔵											FALSE		
1774	木幡											FALSE		
1775	黄檗											FALSE		
1776	三室戸											FALSE		
1777	宇治											FALSE		
1801	神鉄神戸											FALSE		
1802	神鉄仲町											FALSE		
1803	神鉄湊川											FALSE		
1804	神鉄長田											FALSE		
1805	丸山											FALSE		
1806	鵯越											FALSE		
1807	菊水山											FALSE		
1808	鈴蘭台											FALSE		
1809	北鈴蘭台											FALSE		
1810	山の街											FALSE		
1811	箕谷											FALSE		
1812	谷上											FALSE		
1813	花山											FALSE		
1814	大池											FALSE		
1815	神鉄六甲											FALSE		
1816	唐櫃台											FALSE		
1817	有馬口											FALSE		
1818	神鉄有馬温泉											FALSE		
1821	五社											FALSE		
1822	神鉄岡場											FALSE		
1823	田尾寺											FALSE		
1824	二郎											FALSE		
1825	道場南口											FALSE		
1826	神鉄道場											FALSE		
1827	横山											FALSE		
1828	三田本町											FALSE		
1829	三田											FALSE		
1831	フラワータウン											FALSE		
1832	南ウッディタウン											FALSE		
1833	ウッディタウン中央											FALSE		
1901	六甲越阪神六甲口											FALSE		
1902	六甲越徐行六甲口											FALSE		
1903	六甲越阪急六甲口											FALSE		
1904	十善寺											FALSE		
1905	十禅寺山											FALSE		
1906	清水谷											FALSE		
1907	住吉西谷											FALSE		
1908	西六甲											FALSE		
1909	ゴルフ西											FALSE		
1910	ゴルフ東											FALSE		
1911	東六甲											FALSE		
1912	有野奥											FALSE		
1913	湯槽谷											FALSE		
1914	鼓ヶ滝											FALSE		
1915	甲越有馬温泉											FALSE		
2001	江坂											FALSE		
2002	東三国											FALSE		
2003	大交新大阪											FALSE		
2004	西中島南方											FALSE		
2005	大交中津											FALSE		
2006	大交梅田											FALSE		
2007	大交淀屋橋											FALSE		
2008	本町											FALSE		
2009	心斎橋											FALSE		
2010	大交なんば											FALSE		
2011	大国町											FALSE		
2012	動物園前											FALSE		
2013	大交天王寺											FALSE		
2014	昭和町											FALSE		
2015	西田辺											FALSE		
2016	大交長居											FALSE		
2017	あびこ											FALSE		
2018	北花田											FALSE		
2019	新金岡											FALSE		
2020	大交なかもず											FALSE		
2021	大日											FALSE		
2022	守口市											FALSE		
2023	太子橋今市											FALSE		
2024	千林大宮											FALSE		
2025	関目高殿											FALSE		
2026	野江内代											FALSE		
2027	都島											FALSE		
2028	天神橋筋六丁目											FALSE		
2029	中崎町											FALSE		
2030	東梅田											FALSE		
2031	南森町											FALSE		
2032	大交天満橋											FALSE		
2033	谷町四丁目											FALSE		
2034	谷町六丁目											FALSE		
2035	谷町九丁目											FALSE		
2036	四天王寺前夕陽ケ丘											FALSE		
2037	阿倍野											FALSE		
2038	文の里											FALSE		
2039	田辺											FALSE		
2040	駒川中野											FALSE		
2041	平野											FALSE		
2042	喜連瓜破											FALSE		
2043	出戸											FALSE		
2044	長原											FALSE		
2045	八尾南											FALSE		
2051	西梅田											FALSE		
2052	肥後橋											FALSE		
2057	花園町											FALSE		
2058	岸里											FALSE		
2059	玉出											FALSE		
2060	北加賀屋											FALSE		
2061	住之江公園											FALSE		
2070	夢洲											FALSE		
2071	コスモスクエア											FALSE		
2072	大阪港											FALSE		
2073	朝潮橋											FALSE		
2074	大交弁天町											FALSE		
2075	大交九条											FALSE		
2076	阿波座											FALSE		
2078	堺筋本町											FALSE		
2080	森ノ宮											FALSE		
2081	緑橋											FALSE		
2082	深江橋											FALSE		
2083	高井田											FALSE		
2084	長田											FALSE		
2091	大交野田阪神											FALSE		
2092	玉川											FALSE		
2094	西長堀											FALSE		
2095	大交桜川											FALSE		
2097	大交日本橋											FALSE		
2099	大交鶴橋											FALSE		
2100	今里											FALSE		
2101	新深江											FALSE		
2102	小路											FALSE		
2103	北巽											FALSE		
2104	南巽											FALSE		
2112	扇町											FALSE		
2114	大交北浜											FALSE		
2116	長堀橋											FALSE		
2118	恵美須町											FALSE		
2120	大交天下茶屋											FALSE		
2131	大交大正											FALSE		
2132	大交大阪ドーム前											FALSE		
2134	西大橋											FALSE		
2137	松屋町											FALSE		
2139	大交玉造											FALSE		
2141	大阪ビジネスパーク											FALSE		
2142	大交京橋											FALSE		
2143	蒲生四丁目											FALSE		
2144	今福鶴見											FALSE		
2145	横堤											FALSE		
2146	鶴見緑地											FALSE		
2147	門真南											FALSE		
2153	大交鴫野											FALSE		
2155	関目成育											FALSE		
2156	新森古市											FALSE		
2157	清水											FALSE		
2159	だいどう豊里											FALSE		
2160	瑞光四丁目											FALSE		
2161	井高野											FALSE		
2201	神明兵庫											FALSE		
2202	大開通											FALSE		
2203	神明長田											FALSE		
2204	西代											FALSE		
2205	神明板宿											FALSE		
2206	東須磨											FALSE		
2207	月見山											FALSE		
2208	須磨寺											FALSE		
2209	神明須磨											FALSE		
2210	一ノ谷											FALSE		
2211	敦盛塚											FALSE		
2212	東塩屋											FALSE		
2213	神明塩屋											FALSE		
2214	滝の茶屋											FALSE		
2215	東垂水											FALSE		
2216	神明垂水											FALSE		
2217	歌敷山											FALSE		
2218	舞子公園											FALSE		
2219	西舞子											FALSE		
2220	大蔵谷											FALSE		
2221	人丸前											FALSE		
2222	遊園地前											FALSE		
2223	神明明石											FALSE		
2224	明石港											FALSE		
2301	三宮摂播前											FALSE		
2302	東遊園地											FALSE		
2303	新港町											FALSE		
2304	波止場町											FALSE		
2305	元町一丁目											FALSE		
2306	栄町三丁目											FALSE		
2307	栄町五丁目											FALSE		
2308	神交神戸駅前											FALSE		
2309	有馬道											FALSE		
2310	神交新開地											FALSE		
2311	浜崎通											FALSE		
2312	神交兵庫駅前											FALSE		
2321	三宮阪急前											FALSE		
2322	加納町三丁目											FALSE		
2323	中山手三丁目											FALSE		
2324	下山手四丁目											FALSE		
2325	下山手六丁目											FALSE		
2326	神交大倉山											FALSE		
2327	神交湊川公園											FALSE		
2328	上沢通四丁目											FALSE		
2329	五番町六丁目											FALSE		
2330	市交長田											FALSE		
2331	御蔵菅原											FALSE		
2332	東尻池											FALSE		
2341	西出町											FALSE		
2342	築島											FALSE		
2343	中之島											FALSE		
2344	和田岬											FALSE		
2345	吉田町											FALSE		
2346	金平町											FALSE		
2347	東尻池八丁目											FALSE		
2351	大橋											FALSE		
2352	大橋五丁目											FALSE		
2353	大橋九丁目											FALSE		
2354	若宮町											FALSE		
2355	衣掛町											FALSE		
2356	天神下											FALSE		
2357	神交須磨駅前											FALSE		
2361	大田町											FALSE		
2362	神交板宿											FALSE		
2363	高倉台											FALSE		
2364	多井畑											FALSE		
2365	桃山台											FALSE		
2366	神交玉子温泉											FALSE		
2367	舞多聞											FALSE		
2368	長坂											FALSE		
2369	伊川谷											FALSE		
2370	永井谷											FALSE		
2371	井吹											FALSE		
2372	櫨谷											FALSE		
2373	西神ニュータウン											FALSE		
2374	神交平野											FALSE		
2381	布引											FALSE		
2382	熊内一丁目											FALSE		
2383	上筒井一丁目											FALSE		
2384	原田											FALSE		
2385	将軍通											FALSE		
2386	日尾町											FALSE		
2387	石屋川車庫											FALSE		
2388	徳井町											FALSE		
2389	神交阪神石屋川											FALSE		
2390	神交大石											FALSE		
2391	味泥											FALSE		
2392	HAT東											FALSE		
2393	HAT中央											FALSE		
2394	HAT西											FALSE		
2395	新生田川											FALSE		
2401	第四突堤											FALSE		
2402	中公園											FALSE		
2403	市民病院前											FALSE		
2404	市民広場											FALSE		
2405	先端医療センター前											FALSE		
2406	ポートアイランド南											FALSE		
2407	神交関西空港											FALSE		
2411	御影郡家											FALSE		
2412	住吉本町											FALSE		
2413	住吉東口											FALSE		
2414	住吉東町											FALSE		
2415	神交魚崎											FALSE		
2416	南魚崎											FALSE		
2417	アイランド北口											FALSE		
2418	アイランドセンター											FALSE		
2419	マリンパーク											FALSE		
2420	南六甲島											FALSE		
3001	米原											FALSE		
3002	彦根											FALSE		
3003	南彦根											FALSE		
3004	河瀬											FALSE		
3005	稲枝											FALSE		
3006	能登川											FALSE		
3007	安土											FALSE		
3008	近江八幡											FALSE		
3009	篠原											FALSE		
3010	野洲											FALSE		
3011	守山											FALSE		
3012	栗東											FALSE		
3013	草津											FALSE		
3014	み杏実草津											FALSE		
3015	瀬田											FALSE		
3016	石山											FALSE		
3017	膳所											FALSE		
3018	大津											FALSE		
3019	山科											FALSE		
3020	京都											FALSE		
3021	西大路											FALSE		
3022	桂川											FALSE		
3023	向日町											FALSE		
3024	長岡京											FALSE		
3025	山崎											FALSE		
3026	島本											FALSE		
3027	高槻											FALSE		
3028	摂津富田											FALSE		
3029	JR総持寺											FALSE		
3030	茨木											FALSE		
3031	千里丘											FALSE		
3032	岸辺											FALSE		
3033	吹田											FALSE		
3034	東淀川											FALSE		
3035	新大阪											FALSE		
3036	大阪											FALSE		
3037	塚本											FALSE		
3038	尼崎											FALSE		
3039	立花											FALSE		
3040	甲子園口											FALSE		
3041	西宮											FALSE		
3042	さくら夙川											FALSE		
3043	芦屋											FALSE		
3044	甲南山手											FALSE		
3045	摂津本山											FALSE		
3046	住吉											FALSE		
3047	六甲道											FALSE		
3048	摩耶											FALSE		
3049	灘											FALSE		
3050	三ノ宮											FALSE		
3051	元町											FALSE		
3052	神戸											FALSE		
3053	兵庫											FALSE		
3054	新長田											FALSE		
3055	鷹取											FALSE		
3056	須磨海浜公園											FALSE		
3057	須磨											FALSE		
3058	塩屋											FALSE		
3059	垂水											FALSE		
3060	舞子											FALSE		
3061	朝霧											FALSE		
3062	明石											FALSE		
3063	西明石											FALSE		
3064	大久保											FALSE		
3065	魚住											FALSE		
3066	土山											FALSE		
3067	東加古川											FALSE		
3068	加古川											FALSE		
3069	宝殿											FALSE		
3070	曽根											FALSE		
3071	ひめじ別所											FALSE		
3072	御着											FALSE		
3073	東姫路											FALSE		
3074	姫路											FALSE		
3075	手柄山平和公園											FALSE		
3076	英賀保											FALSE		
3077	はりま勝原											FALSE		
3078	網干											FALSE		
3079	竜野											FALSE		
3080	相生											FALSE		
3081	有年											FALSE		
3082	上郡											FALSE		
3083	三石											FALSE		
3084	吉永											FALSE		
3085	和気											FALSE		
3086	熊山											FALSE		
3087	万富											FALSE		
3088	瀬戸											FALSE		
3089	上道											FALSE		
3090	東岡山											FALSE		
3091	高島											FALSE		
3092	西河原											FALSE		
3093	岡山											FALSE		
3094	北長瀬											FALSE		
3095	庭瀬											FALSE		
3096	中庄											FALSE		
3097	倉敷											FALSE		
3099	和田岬											FALSE		
3101	手原											FALSE		
3102	石部											FALSE		
3103	甲西											FALSE		
3104	三雲											FALSE		
3105	貴生川											FALSE		
3106	甲南山手											FALSE		
3107	寺庄											FALSE		
3108	甲賀											FALSE		
3109	油日											FALSE		
3111	大津京											FALSE		
3112	唐崎											FALSE		
3113	比叡山坂本											FALSE		
3114	おごと温泉											FALSE		
3115	堅田											FALSE		
3116	小野											FALSE		
3117	和邇											FALSE		
3118	蓬萊											FALSE		
3119	志賀											FALSE		
3120	比良											FALSE		
3121	近江舞子											FALSE		
3122	北小松											FALSE		
3123	近江高島											FALSE		
3124	安曇川											FALSE		
3125	新旭											FALSE		
3126	近江今津											FALSE		
3131	梅小路京都西											FALSE		
3132	丹波口											FALSE		
3133	二条											FALSE		
3134	円町											FALSE		
3135	花園町											FALSE		
3136	太秦											FALSE		
3137	嵯峨嵐山											FALSE		
3138	保津峡											FALSE		
3139	馬堀											FALSE		
3140	亀岡											FALSE		
3141	並河											FALSE		
3142	千代川											FALSE		
3143	八木											FALSE		
3144	吉富											FALSE		
3145	園部											FALSE		
3146	船岡											FALSE		
3147	日吉											FALSE		
3148	鍼灸大学前											FALSE		
3149	胡麻											FALSE		
3150	下山											FALSE		
3151	東福寺											FALSE		
3152	稲荷											FALSE		
3153	JR藤森											FALSE		
3154	桃山											FALSE		
3155	六地蔵											FALSE		
3156	木幡											FALSE		
3157	黄檗											FALSE		
3158	宇治											FALSE		
3159	JR小倉											FALSE		
3160	新田辺											FALSE		
3161	城陽											FALSE		
3162	長池											FALSE		
3163	山城青谷											FALSE		
3164	山城多賀											FALSE		
3165	玉水											FALSE		
3166	棚倉											FALSE		
3167	上狛											FALSE		
3171	南吹田											FALSE		
3172	JR淡路											FALSE		
3173	城北公園通											FALSE		
3174	JR野江											FALSE		
3177	高井田中央											FALSE		
3178	JR河内永和											FALSE		
3179	JR俊徳道											FALSE		
3180	JR長瀬											FALSE		
3181	衣摺加美北											FALSE		
3182	新加美											FALSE		
3191	福島											FALSE		
3192	野田											FALSE		
3193	西九条											FALSE		
3194	弁天町											FALSE		
3195	大正											FALSE		
3196	芦原橋											FALSE		
3197	今宮											FALSE		
3198	新今宮											FALSE		
3199	天王寺											FALSE		
3200	寺田町											FALSE		
3201	桃谷											FALSE		
3202	鶴橋											FALSE		
3203	玉造											FALSE		
3204	森ノ宮											FALSE		
3205	大阪城公園											FALSE		
3206	京橋											FALSE		
3207	桜ノ宮											FALSE		
3208	天満橋											FALSE		
3211	加島											FALSE		
3212	御幣島											FALSE		
3213	海老江											FALSE		
3214	新福島											FALSE		
3215	北新地											FALSE		
3216	大阪天満宮											FALSE		
3217	大阪城北詰											FALSE		
3219	鴫野											FALSE		
3220	放出											FALSE		
3221	徳庵											FALSE		
3222	鴻池新田											FALSE		
3223	住道											FALSE		
3224	野崎											FALSE		
3225	四条畷											FALSE		
3226	忍ケ丘											FALSE		
3227	寝屋川公園											FALSE		
3228	星田											FALSE		
3229	河内磐船											FALSE		
3230	津田											FALSE		
3231	藤阪											FALSE		
3232	長尾											FALSE		
3233	松井山手											FALSE		
3234	大住											FALSE		
3235	京田辺											FALSE		
3236	同志社前											FALSE		
3237	JR三山木											FALSE		
3238	下狛											FALSE		
3239	祝園											FALSE		
3240	西木津											FALSE		
3241	安治川口											FALSE		
3242	ユニバーサルシティ											FALSE		
3243	桜島											FALSE		
3251	JR難波											FALSE		
3253	東部市場前											FALSE		
3254	平野											FALSE		
3255	加美											FALSE		
3256	久宝寺口											FALSE		
3257	八尾											FALSE		
3258	志紀											FALSE		
3259	柏原											FALSE		
3260	高井田											FALSE		
3261	河内堅上											FALSE		
3262	三郷											FALSE		
3263	王寺											FALSE		
3264	法隆寺											FALSE		
3265	大和小泉											FALSE		
3266	郡山											FALSE		
3267	奈良											FALSE		
3268	平城山											FALSE		
3269	木津川											FALSE		
3270	加茂											FALSE		
3271	笠置											FALSE		
3272	大河原											FALSE		
3273	月ヶ瀬口											FALSE		
3274	島ヶ原											FALSE		
3275	伊賀上野											FALSE		
3276	佐那具											FALSE		
3277	新堂											FALSE		
3278	柘植											FALSE		
3281	美章園											FALSE		
3282	南田辺											FALSE		
3283	鶴ケ丘											FALSE		
3284	長居											FALSE		
3285	我孫子町											FALSE		
3286	杉本町											FALSE		
3287	浅香山											FALSE		
3288	堺市											FALSE		
3289	三国ヶ丘											FALSE		
3290	百舌鳥八幡											FALSE		
3291	上野芝											FALSE		
3292	津久野											FALSE		
3293	鳳											FALSE		
3294	富木											FALSE		
3295	北信太											FALSE		
3296	信太山											FALSE		
3297	和泉府中											FALSE		
3298	久米田											FALSE		
3299	下松											FALSE		
3300	東岸和田											FALSE		
3301	東貝塚											FALSE		
3302	和泉橋本											FALSE		
3303	東佐野											FALSE		
3304	熊取											FALSE		
3305	日根野											FALSE		
3306	長滝											FALSE		
3307	新家											FALSE		
3308	和泉砂川											FALSE		
3309	和泉鳥取											FALSE		
3310	山中渓											FALSE		
3311	紀伊											FALSE		
3312	六十谷											FALSE		
3313	紀伊中ノ島											FALSE		
3319	東羽衣											FALSE		
3321	JRりんくうタウン											FALSE		
3322	JR関西空港											FALSE		
3331	和歌山市											FALSE		
3332	紀和											FALSE		
3334	宮前											FALSE		
3335	紀三井寺											FALSE		
3336	黒江											FALSE		
3337	海南											FALSE		
3338	冷水浦											FALSE		
3339	加茂郷											FALSE		
3340	下津											FALSE		
3341	初島											FALSE		
3342	箕島											FALSE		
3351	畠田											FALSE		
3352	志都美											FALSE		
3353	香芝											FALSE		
3354	JR五位堂											FALSE		
3355	高田											FALSE		
3356	大和新庄											FALSE		
3357	御所											FALSE		
3358	玉手											FALSE		
3359	掖上											FALSE		
3360	吉野口											FALSE		
3361	北宇智											FALSE		
3362	五条											FALSE		
3363	大和二見											FALSE		
3364	隅田											FALSE		
3365	下兵庫											FALSE		
